keys,ru,en,fr,it,de,es,pt_br,uk,ja,ko,zh_tw,ar,nl,id,hi,tr,zh_cn,th,vi,pl
Перевод текста в играх и приложениях прямо поверх экрана,Перевод текста в играх и приложениях прямо поверх экрана,Translate text in games and apps right on top of the screen,Traduisez le texte des jeux et des applications directement en haut de l'écran,Traduci il testo nei giochi e nelle applicazioni direttamente nella parte superiore dello schermo,Übersetzen Sie Text in Spielen und Anwendungen direkt auf dem Bildschirm,Traduce texto en juegos y aplicaciones directamente en la parte superior de la pantalla,Traduza texto em jogos e aplicativos diretamente na parte superior da tela,Переклад тексту в іграх та додатках прямо поверх екрану,ゲームやアプリケーション内のテキストを画面上で直接翻訳します,게임 및 애플리케이션의 텍스트를 화면 상단에서 직접 번역하세요.,直接在螢幕頂部翻譯遊戲和應用程式中的文本,ترجمة النص في الألعاب والتطبيقات مباشرة أعلى الشاشة,Vertaal tekst in games en applicaties rechtstreeks bovenaan het scherm,Terjemahkan teks dalam game dan aplikasi langsung di atas layar,गेम और एप्लिकेशन में टेक्स्ट का सीधे स्क्रीन के शीर्ष पर अनुवाद करें,Oyunlarda ve uygulamalarda metinleri doğrudan ekranın üstünde çevirin,直接在屏幕顶部翻译游戏和应用程序中的文本,แปลข้อความในเกมและแอพพลิเคชั่นได้โดยตรงบนหน้าจอ,Dịch văn bản trong trò chơi và ứng dụng trực tiếp trên màn hình,Tłumacz tekst w grach i aplikacjach bezpośrednio na górze ekranu
Запустить оверлей,Запустить оверлей,Start overlay,Superposition de lancement,Avvia la sovrapposizione,Overlay starten,Superposición de lanzamiento,Sobreposição de lançamento,Запустити оверлей,オーバーレイを起動する,오버레이 실행,啟動疊加層,إطلاق تراكب,Overlay starten,Luncurkan hamparan,ओवरले लॉन्च करें,Yer paylaşımını başlat,启动叠加层,เปิดตัวการซ้อนทับ,Khởi chạy lớp phủ,Uruchom nakładkę
Разрешения,Разрешения,Permissions,Autorisations,Autorizzazioni,Berechtigungen,Permisos,Permissões,Дозволи,権限,권한,權限,الأذونات,Machtigingen,Izin,अनुमतियाँ,İzinler,权限,สิทธิ์,Quyền,Uprawnienia
Проверка разрешений…,Проверка разрешений…,Checking permissions…,Vérification des autorisations...,Verifica dei permessi...,Berechtigungen werden überprüft...,Comprobando permisos...,Verificando permissões...,Перевірка дозволів.,権限を確認しています...,권한 확인 중...,正在檢查權限...,جارٍ التحقق من الأذونات...,Rechten controleren...,Memeriksa izin...,अनुमतियाँ जाँची जा रही हैं...,İzinler kontrol ediliyor...,正在检查权限...,กำลังตรวจสอบสิทธิ์...,Đang kiểm tra quyền...,Sprawdzam uprawnienia...
Разрешить показ поверх окон,Разрешить показ поверх окон,Allow drawing over other apps,Autoriser l'affichage en haut des fenêtres,Consenti la visualizzazione sopra le finestre,Anzeige über Fenstern zulassen,Permitir visualización en la parte superior de las ventanas,Permitir exibição no topo das janelas,Дозволити показ поверх вікон,ウィンドウの上に表示できるようにする,창 위에 표시 허용,允許顯示在視窗頂部,السماح بالعرض أعلى النوافذ,Weergave bovenop vensters toestaan,Izinkan tampilan di atas jendela,विंडोज़ के शीर्ष पर प्रदर्शन की अनुमति दें,Pencerelerin üstünde görüntülemeye izin ver,允许显示在窗口顶部,อนุญาตให้แสดงที่ด้านบนของหน้าต่าง,Cho phép hiển thị trên đầu cửa sổ,Zezwalaj na wyświetlanie na górze okien
Сейчас,Сейчас,Current setup,Maintenant,Ora,Jetzt,ahora,Agora,Зараз,今,지금,現在,الآن,Nu,Sekarang,अभी,Şimdi,现在,ตอนนี้,bây giờ,Teraz
Переводить на,Переводить на,Translate to,Traduire en,Traduci in,Übersetzen nach,Traducir a,Traduzir para,Перекладати на,に翻訳する,다음으로 번역하다,翻譯為,ترجمة ل,Vertalen naar,Terjemahkan ke,में अनुवाद करें,Çevir,翻译为,แปลเป็น,Dịch sang,Przetłumacz na
Движок,Движок,Engine,Moteur,Motore,Motor,motor,Motor,Двигун,エンジン,엔진,引擎,المحرك,Motor,Mesin,इंजन,Motor,发动机,เครื่องยนต์,Động cơ,Silnik
Письменность,Письменность,Script,Écriture,Scrivere,Schreiben,escribiendo,Escrita,Писемність,執筆,글쓰기,寫作,الكتابة,Schrijven,Menulis,लेखन,Yazma,写作,การเขียน,Viết,Pisanie
Изменить в настройках,Изменить в настройках,Change in Settings,Modification des paramètres,Modifica delle impostazioni,Änderung der Einstellungen,Cambio en la configuración,Mudança nas configurações,Змінити у налаштуваннях,設定の変更,설정 변경,更改設定,التغيير في الإعدادات,Wijziging in instellingen,Perubahan pengaturan,सेटिंग्स में बदलाव,Ayarlarda değişiklik,更改设置,เปลี่ยนการตั้งค่า,Thay đổi cài đặt,Zmień ustawienia
Первый запуск,Первый запуск,First run,Premier lancement,Primo lancio,Erster Start,Primer lanzamiento,Primeiro lançamento,Перший запуск,最初の打ち上げ,첫 출시,首次推出,الإطلاق الأول,Eerste lancering,Peluncuran pertama,पहला लॉन्च,İlk lansman,首次推出,เปิดตัวครั้งแรก,Lần ra mắt đầu tiên,Pierwsze uruchomienie
"Нажмите «Запустить оверлей», откройте игру и коснитесь плавающей кнопки «文A» — перевод появится поверх текста.","Нажмите «Запустить оверлей», откройте игру и коснитесь плавающей кнопки «文A» — перевод появится поверх текста.","Tap “Start overlay”, open a game and tap the floating “文A” button — the translation appears on top of the text.","Cliquez sur ""Lancer la superposition"", ouvrez le jeu et appuyez sur le bouton flottant ""文A"" - la traduction apparaîtra au-dessus du texte.","Fai clic su ""Avvia overlay"", apri il gioco e tocca il pulsante mobile ""文A"": la traduzione apparirà sopra il testo.","Klicken Sie auf „Overlay starten“, öffnen Sie das Spiel und tippen Sie auf die schwebende Schaltfläche „文A“ – die Übersetzung wird über dem Text angezeigt.","Haz clic en ""Iniciar superposición"", abre el juego y toca el botón flotante ""文A""; la traducción aparecerá encima del texto.","Clique em ""Iniciar sobreposição"", abra o jogo e toque no botão flutuante ""文A"" - a tradução aparecerá no topo do texto.","Натисніть «Запустити оверлей», відкрийте гру і торкніться плаваючої кнопки «文A» — переклад з'явиться поверх тексту.",「オーバーレイの起動」をクリックしてゲームを開き、フローティングの「文A」ボタンをタップします。翻訳がテキストの上に表示されます。,"""오버레이 실행""을 클릭하고 게임을 열고 떠 있는 ""文A"" 버튼을 탭하세요. 번역이 텍스트 위에 표시됩니다.",點擊“啟動覆蓋”，打開遊戲並點擊浮動的“文字A”按鈕 - 翻譯將出現在文字頂部。,"انقر فوق ""تشغيل التراكب""، وافتح اللعبة واضغط على الزر ""文A"" العائم - ستظهر الترجمة أعلى النص.","Klik op ""Overlay starten"", open het spel en tik op de zwevende knop ""文A"" - de vertaling verschijnt bovenaan de tekst.","Klik ""Luncurkan overlay"", buka game dan ketuk tombol ""文A"" yang mengambang - terjemahannya akan muncul di atas teks.","""लॉन्च ओवरले"" पर क्लिक करें, गेम खोलें और फ्लोटिंग ""文A"" बटन पर टैप करें - अनुवाद टेक्स्ट के शीर्ष पर दिखाई देगा।","""Arayüz paylaşımını başlat""a tıklayın, oyunu açın ve kayan ""文A"" düğmesine dokunun; çeviri metnin üstünde görünecektir.",单击“启动覆盖”，打开游戏并点击浮动的“文A”按钮 - 翻译将出现在文本顶部。,"คลิก ""เปิดภาพซ้อนทับ"" เปิดเกมแล้วแตะปุ่ม ""文A"" ที่ลอยอยู่ คำแปลจะปรากฏที่ด้านบนของข้อความ","Nhấp vào ""Khởi chạy lớp phủ"", mở trò chơi và nhấn vào nút ""文A"" nổi - bản dịch sẽ xuất hiện ở đầu văn bản.","Kliknij „Uruchom nakładkę”, otwórz grę i naciśnij pływający przycisk „文A” – tłumaczenie pojawi się na górze tekstu."
Подробная инструкция,Подробная инструкция,Full guide,Instructions détaillées,Istruzioni dettagliate,Detaillierte Anleitung,Instrucciones detalladas,Instruções detalhadas,Детальна інструкція,詳細な手順,자세한 지침,詳細說明,تعليمات مفصلة,Gedetailleerde instructies,Instruksi terperinci,विस्तृत निर्देश,Ayrıntılı talimatlar,详细说明,คำแนะนำโดยละเอียด,Hướng dẫn chi tiết,Szczegółowe instrukcje
Помощь,Помощь,Help,Aide,Aiuto,Hilfe,Ayuda,Ajuda,Допомога,ヘルプ,도움말,幫助,مساعدة,Hulp,Bantuan,मदद,Yardım,帮助,ช่วยด้วย,Trợ giúp,Pomoc
"Что это за приложение, как оно работает и что нажимать","Что это за приложение, как оно работает и что нажимать","What this app is, how it works and what to tap","Qu'est-ce que cette application, comment ça marche et sur quoi appuyer","Cos'è questa applicazione, come funziona e cosa premere","Was ist diese Anwendung, wie funktioniert sie und was muss gedrückt werden?","¿Qué es esta aplicación, cómo funciona y qué presionar?","O que é este aplicativo, como funciona e o que pressionar","Що це за програма, як вона працює і що натискати",このアプリケーションは何ですか、どのように機能し、何を押すか,이 응용 프로그램은 무엇이며 어떻게 작동하며 무엇을 눌러야합니까?,這是什麼應用程序，它如何工作以及按什麼,ما هو هذا التطبيق وكيف يعمل وماذا اضغط,"Wat is deze applicatie, hoe werkt het en waar moet je op drukken?","Apa itu aplikasi ini, bagaimana cara kerjanya dan apa yang harus ditekan","ये एप्लीकेशन क्या है, कैसे काम करती है और क्या दबाना है","Bu uygulama nedir, nasıl çalışır ve neye basılmalıdır?",这是什么应用程序，它如何工作以及按什么,แอปพลิเคชั่นนี้คืออะไร ทำงานอย่างไร และต้องกดอะไร,"Ứng dụng này là gì, nó hoạt động như thế nào và cần nhấn cái gì","Co to za aplikacja, jak działa i co nacisnąć"
